task_uid,task_type,prompt_length_chars,negative_prompt_length_chars,steps,num_images,lora_count
pool01-task000,TXT_2_IMG,42,26,30,1,0
pool01-task001,TXT_2_IMG,72,26,30,1,0
pool01-task002,TXT_2_IMG,65,26,30,1,0
pool01-task003,TXT_2_IMG,46,26,30,1,0
pool01-task004,TXT_2_IMG,56,26,30,1,0
pool01-task005,TXT_2_IMG,55,26,30,1,0
pool01-task006,TXT_2_IMG,55,26,30,4,0
pool01-task007,TXT_2_IMG,55,26,30,1,0
pool01-task008,TXT_2_IMG,52,26,30,1,0
pool01-task009,TXT_2_IMG,33,0,30,1,1
pool01-task010,TXT_2_IMG,73,26,30,1,0
pool01-task011,TXT_2_IMG,60,26,30,4,0
pool01-task012,TXT_2_IMG,60,26,30,1,0
pool01-task013,TXT_2_IMG,82,26,30,4,0
pool01-task014,TXT_2_IMG,62,26,30,1,0
pool01-task015,TXT_2_IMG,65,26,30,1,0
pool01-task016,TXT_2_IMG,72,26,30,4,0
pool01-task017,TXT_2_IMG,65,26,30,8,0
pool01-task018,IMG_2_IMG,18,26,30,1,0
pool01-task019,TXT_2_IMG,3,0,30,4,0
pool01-task020,TXT_2_IMG,2,0,30,4,0
pool01-task021,TXT_2_IMG,34,0,30,8,1
pool01-task022,TXT_2_IMG,61,26,30,8,0
pool01-task023,TXT_2_IMG,57,26,30,8,0
pool01-task024,TXT_2_IMG,50,26,30,8,0
pool01-task025,TXT_2_IMG,52,26,30,1,0
pool01-task026,TXT_2_IMG,13,0,30,4,1
pool01-task027,IMG_2_IMG,5,26,30,1,0
pool01-task028,IMG_2_IMG,5,26,30,1,0
pool01-task029,TXT_2_IMG,56,26,30,8,0
pool01-task030,INPAINTING,14,26,30,4,0
pool01-task031,TXT_2_IMG,82,26,30,8,0
pool01-task032,TXT_2_IMG,52,26,30,8,0
pool01-task033,TXT_2_IMG,34,26,30,1,0
pool01-task034,TXT_2_IMG,52,26,30,8,0
pool01-task035,TXT_2_IMG,17,0,25,1,0
pool01-task036,IMG_2_IMG,14,26,30,1,0
pool01-task037,TXT_2_IMG,58,26,30,8,0
pool01-task038,IMG_2_IMG,10,26,30,1,0
pool01-task039,IMG_2_IMG,34,26,30,1,0
pool01-task040,IMG_2_IMG,36,26,30,1,2
pool01-task041,IMG_2_IMG,34,26,30,1,0
pool01-task042,IMG_2_IMG,32,26,30,1,0
pool01-task043,TXT_2_IMG,50,26,30,1,0
pool01-task044,TXT_2_IMG,32,26,30,1,0
pool01-task045,IMG_2_IMG,36,26,30,1,0
pool01-task046,TXT_2_IMG,65,0,30,1,0
pool01-task047,TXT_2_IMG,89,26,30,8,0
pool01-task048,TXT_2_IMG,116,0,30,1,0
pool01-task049,TXT_2_IMG,116,0,30,1,0
pool01-task050,INPAINTING,7,31,35,1,1
pool01-task051,TXT_2_IMG,93,26,30,8,0
pool01-task052,TXT_2_IMG,12,0,30,4,1
pool01-task053,TXT_2_IMG,65,26,30,1,0
pool01-task054,TXT_2_IMG,42,26,30,1,0
pool01-task055,TXT_2_IMG,46,26,30,1,0
pool01-task056,IMG_2_IMG,18,26,30,1,0
pool01-task057,TXT_2_IMG,89,0,30,8,0
pool01-task058,IMG_2_IMG,2,0,30,1,1
pool01-task059,TXT_2_IMG,6,26,30,1,0
pool01-task060,TXT_2_IMG,100,22,30,8,0
pool01-task061,TXT_2_IMG,103,22,100,8,1
pool01-task062,IMG_2_IMG,11,26,30,2,0
pool01-task063,TXT_2_IMG,127,0,30,8,0
pool01-task064,TXT_2_IMG,53,26,30,1,0
pool01-task065,TXT_2_IMG,45,26,30,1,0
pool01-task066,TXT_2_IMG,53,26,30,1,0
pool01-task067,TXT_2_IMG,138,0,30,8,1
pool01-task068,TXT_2_IMG,59,26,30,1,0
pool01-task069,TXT_2_IMG,60,26,30,8,0
pool01-task070,TXT_2_IMG,46,26,30,1,0
pool01-task071,TXT_2_IMG,221,26,30,1,0
pool01-task072,TXT_2_IMG,16,0,30,4,1
pool01-task073,IMG_2_IMG,16,0,30,4,1
pool01-task074,IMG_2_IMG,16,0,30,4,1
pool01-task075,TXT_2_IMG,59,26,30,1,0
pool01-task076,IMG_2_IMG,6,26,30,8,1
pool01-task077,TXT_2_IMG,14,0,30,4,1
pool01-task078,TXT_2_IMG,55,26,30,1,0
pool01-task079,TXT_2_IMG,112,26,30,1,0
pool01-task080,TXT_2_IMG,35,26,30,8,0
pool01-task081,TXT_2_IMG,30,26,30,1,0
pool01-task082,TXT_2_IMG,42,26,30,1,0
pool01-task083,TXT_2_IMG,52,26,30,1,0
pool01-task084,TXT_2_IMG,56,26,30,8,0
pool01-task085,TXT_2_IMG,52,26,30,4,0
pool01-task086,TXT_2_IMG,28,0,30,4,0
pool01-task087,TXT_2_IMG,63,26,30,4,0
pool01-task088,IMG_2_IMG,18,26,30,1,0
pool01-task089,TXT_2_IMG,9,26,30,1,0
pool01-task090,TXT_2_IMG,107,26,30,1,0
pool01-task091,TXT_2_IMG,16,26,40,1,0
pool01-task092,IMG_2_IMG,3,0,30,2,0
pool01-task093,TXT_2_IMG,53,26,30,1,0
pool01-task094,TXT_2_IMG,44,26,30,1,0
pool01-task095,TXT_2_IMG,62,26,30,1,0
pool01-task096,TXT_2_IMG,53,26,30,2,0
pool01-task097,IMG_2_IMG,39,26,30,1,0
pool01-task098,IMG_2_IMG,39,26,30,1,0
pool01-task099,TXT_2_IMG,54,26,30,1,0
pool02-task000,TXT_2_IMG,67,26,30,1,0
pool02-task001,TXT_2_IMG,52,26,30,1,0
pool02-task002,INPAINTING,3,0,30,1,0
pool02-task003,TXT_2_IMG,2,26,30,4,0
pool02-task004,TXT_2_IMG,26,26,30,1,0
pool02-task005,TXT_2_IMG,50,26,30,4,0
pool02-task006,TXT_2_IMG,1,26,30,1,0
pool02-task007,TXT_2_IMG,144,0,30,8,0
pool02-task008,TXT_2_IMG,44,26,30,1,0
pool02-task009,TXT_2_IMG,2,26,30,8,0
pool02-task010,TXT_2_IMG,82,26,30,8,0
pool02-task011,TXT_2_IMG,58,26,30,1,0
pool02-task012,TXT_2_IMG,49,26,30,1,0
pool02-task013,TXT_2_IMG,44,26,30,1,0
pool02-task014,IMG_2_IMG,2,0,30,4,0
pool02-task015,TXT_2_IMG,104,26,30,1,0
pool02-task016,TXT_2_IMG,57,26,30,4,0
pool02-task017,IMG_2_IMG,12,0,30,4,1
pool02-task018,TXT_2_IMG,26,26,30,1,0
pool02-task019,TXT_2_IMG,63,26,30,1,0
pool02-task020,TXT_2_IMG,13,0,30,4,1
