gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid,compute_multiplier,memory_multiplier,semantic_class,warning,requested_model,resolved_model,latency_ms,prompt_tokens,completion_tokens,total_tokens,attempts,response_sha256,q_count,q_data,q_llm,vram_base_gb,vram_requirement_gb_simulated,vram_value_classification
2024-11-20 00:01:22,TXT_2_IMG,SUCCEED,20.0,G0187,42.0,26.0,1.0,30.0,M0002,0,894,2024-11-20,1,0,pool01-task000,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1337.9691248992458,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.7861635220125786,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:06:53,TXT_2_IMG,SUCCEED,16.0,G0123,72.0,26.0,1.0,30.0,M0002,0,911,2024-11-20,1,1,pool01-task001,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1342.8739999653772,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.6289308176100629,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:08:27,TXT_2_IMG,SUCCEED,30.0,G0123,65.0,26.0,1.0,30.0,M0000,0,917,2024-11-20,1,2,pool01-task002,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1341.439334093593,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,1.1792452830188678,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:29:50,TXT_2_IMG,SUCCEED,23.0,G0195,46.0,26.0,1.0,30.0,M0010,0,945,2024-11-20,1,3,pool01-task003,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1366.9227079953998,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.9040880503144654,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:30:52,TXT_2_IMG,SUCCEED,13.0,G0195,56.0,26.0,1.0,30.0,M0010,0,948,2024-11-20,1,4,pool01-task004,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,967.63537498191,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.511006289308176,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:39:26,TXT_2_IMG,SUCCEED,18.0,G0200,55.0,26.0,1.0,30.0,M0002,0,957,2024-11-20,1,5,pool01-task005,2.0,1.5,TXT_2_IMG,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,933.0957079073414,174,51,225,1,a4d59208a3b8e165c614ed722f6e7cd9c624f99b278450218d40f065255a386c,1.0,0.7075471698113207,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:39:59,TXT_2_IMG,SUCCEED,21.0,G0200,55.0,26.0,4.0,30.0,M0002,0,959,2024-11-20,1,6,pool01-task006,2.5,2.0,image_generation,High step count and multiple images increase resource demand.,deepseek-chat,deepseek-v4-flash,968.7409999314696,174,52,226,1,95027d767c3b3ea737fe495a82c217544ce6ded932c18a40d950c0bab2abb14c,1.0,0.8254716981132075,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:44:18,TXT_2_IMG,SUCCEED,18.0,G0203,55.0,26.0,1.0,30.0,M0002,0,962,2024-11-20,1,7,pool01-task007,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,1066.5485829813406,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.7075471698113207,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 00:44:40,TXT_2_IMG,SUCCEED,14.0,G0204,52.0,26.0,1.0,30.0,M0002,0,963,2024-11-20,1,8,pool01-task008,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,894.1092500463128,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.550314465408805,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 01:16:14,TXT_2_IMG,SUCCEED,31.0,G0146,33.0,0.0,1.0,30.0,M0001,1,990,2024-11-20,1,9,pool01-task009,1.5,1.2,image_generation,Standard text-to-image generation with LoRA.,deepseek-chat,deepseek-v4-flash,997.4049580050632,174,51,225,1,62bd384af34ff29d3fce6ca1b7444d59802465688318a9cbe215c1b464c187b3,1.0,1.2185534591194969,0.7281553398058253,0.1625,0.195,simulated_vbase_times_deepseek_multiplier
2024-11-20 02:27:01,TXT_2_IMG,SUCCEED,15.0,G0187,73.0,26.0,1.0,30.0,M0010,0,1010,2024-11-20,1,10,pool01-task010,2.0,1.5,image_generation,Standard text-to-image generation.,deepseek-chat,deepseek-v4-flash,903.6658749682828,174,48,222,1,478c8ed61a53b9e7f0140e6942d45717ddf313b86412c6d0fa12d1c1f96de4a0,1.0,0.5896226415094339,0.970873786407767,0.1625,0.24375000000000002,simulated_vbase_times_deepseek_multiplier
2024-11-20 02:41:51,TXT_2_IMG,SUCCEED,17.0,G0217,60.0,26.0,4.0,30.0,M0002,0,1018,2024-11-20,1,11,pool01-task011,2.5,2.0,image_generation,High resource demand due to 4 images and 30 steps.,deepseek-chat,deepseek-v4-flash,1054.7410409199074,174,55,229,1,7096b5db4bc5c65db42f65552313a8ed3fb968f990708fb37f0ee8290868adc2,1.0,0.6682389937106918,1.2135922330097086,0.1625,0.325,simulated_vbase_times_deepseek_multiplier
